"","a1"
"1",3.114
"2",1.667
"3",0.6672
"4",0.6973
"5",0.5817
"6",0.4773
"7",0.3747
"8",0.4438
"9",0.41
"10",0.3288
"11",0.2739
"12",0.27
"13",0.2412
"14",0.05701
"15",0.1781
"16",0.1642
"17",0.1906
"18",0.148
"19",0.168
"20",0.1409
"21",0.1363
"22",0.1625
"23",0.1326
"24",0.1254
"25",0.1039
"26",0.07263
"27",0.1228
"28",0.09878
"29",0.1123
"30",0.1123
"31",0.1078
"32",0.09846
"33",0.03057
"34",0.1151
"35",0.08663
"36",0.08211
"37",0.1097
"38",0.08327
"39",0.09514
"40",0.06254
"41",0.07212
"42",0.08981
"43",0.06761
"44",0.1021
"45",0.06352
"46",0.0715
"47",0.05636
"48",0.04018
"49",0.07256
"50",0.05587
"51",0.0752
"52",0.04521
"53",0.0316
"54",0.03775
"55",0.05975
"56",0.05587
"57",0.05848
"58",0.0486
"59",0.0681
"60",0.04968
"61",0.05604
"62",0.04156
"63",0.03711
"64",0.04934
"65",0.05159
"66",0.04886
"67",0.008029
"68",0.04624
"69",0.03945
"70",0.04722
"71",0.03323
"72",0.03073
"73",0.009122
"74",0.03941
"75",0.02767
"76",0.03961
"77",0.01954
"78",0.04014
"79",0.004748
"80",0.01052
"81",0.0178
"82",0.03308
"83",0.01596
"84",0.04838
"85",0.03565
"86",0.01529
"87",0.01216
"88",0.00437
"89",0.007746
"90",0.02509
"91",0.006952
"92",0.03601
"93",0.01035
"94",0.008977
"95",0.002669
"96",0.01778
"97",0.009974
"98",0.008917
"99",0.03379
"100",0.03185
"101",0.03031
"102",0.02827
"103",0.03503
"104",0.02921
"105",0.03077
"106",0.02965
"107",0.02706
"108",0.02784
"109",0.02769
"110",0.0301
"111",0.02835
"112",0.02606
"113",0.02563
"114",0.02794
"115",0.02251
"116",0.02341
"117",0.02251
"118",0.02256
"119",0.02677
"120",0.02493
"121",0.02657
"122",0.01624
"123",0.01311
"124",0.01331
"125",0.02615
"126",0.03033
"127",0.02028
"128",0.02003
"129",0.01474
"130",0.0142
"131",0.02737
"132",0.02394
"133",0.02781
"134",0.02323
"135",0.02042
"136",0.01672
"137",0.01302
"138",0.01296
"139",0.02253
"140",0.02292
"141",0.003934
"142",0.02276
"143",0.006545
"144",0.02315
"145",0.02323
"146",0.01895
"147",0.003275
"148",0.02222
"149",0.02275
"150",0.02157
"151",0.02249
"152",0.01977
"153",0.02157
"154",0.02432
"155",0.02098
"156",0.02174
"157",0.02144
"158",0.0197
"159",0.02129
"160",0.02121
"161",0.01977
"162",0.01939
"163",0.02002
"164",0.02155
"165",0.02231
"166",0.01763
"167",0.02073
"168",0.01947
"169",0.02123
"170",0.01964
"171",0.01942
"172",0.0189
"173",0.01307
"174",0.01484
"175",0.007594
"176",0.007009
"177",0.01144
"178",0.01449
"179",0.01713
"180",0.01352
"181",0.01405
"182",0.01747
"183",0.01676
"184",0.000712
"185",0.006674
"186",0.01305
"187",0.009577
"188",0.007765
"189",0.005451
"190",0.007177
"191",0.0097
"192",0.01879
"193",0.01976
"194",0.01563
"195",0.01648
"196",0.01502
"197",0.01041
"198",0.008983
"199",0.006174
"200",0.01674
"201",0.01239
"202",0.01683
"203",0.01737
"204",0.01908
"205",0.01763
"206",0.0158
"207",0.01367
"208",0.006607
"209",0.01288
"210",0.005131
"211",0.01449
"212",0.01237
"213",0.01985
"214",0.01831
"215",0.01917
"216",0.01611
"217",0.01569
"218",0.01714
"219",0.01968
"220",0.02031
"221",0.01262
"222",0.01416
"223",0.002533
"224",0.01383
"225",0.01566
"226",0.005494
"227",0.01163
"228",0.008329
"229",0.01219
"230",0.01908
"231",0.01059
"232",0.01447
"233",0.0138
"234",0.01418
"235",0.01347
"236",0.01722
"237",0.005738
"238",0.014
"239",0.0181
"240",0.01396
"241",0.01424
"242",0.005858
"243",0.01184
"244",0.005201
"245",0.01088
"246",0.01071
"247",0.01337
"248",0.01489
"249",0.01305
"250",0.003623
"251",0.009708
"252",0.01628
"253",0.01145
"254",0.0127
"255",0.01281
"256",0.01256
"257",0.01303
"258",0.01303
"259",0.01247
"260",0.01225
"261",0.01176
"262",0.0124
"263",0.01277
"264",0.01206
"265",0.01301
"266",0.01242
"267",0.01197
"268",0.01188
"269",0.01139
"270",0.01149
"271",0.01176
"272",0.01249
"273",0.01261
"274",0.01241
"275",0.01207
"276",0.01203
"277",0.01168
"278",0.01218
"279",0.01304
"280",0.01247
"281",0.0101
"282",0.01189
"283",0.01089
"284",0.01113
"285",0.01108
"286",0.009556
"287",0.01071
"288",0.01113
"289",0.01317
"290",0.01293
"291",0.01324
"292",0.01268
"293",0.0107
"294",0.01041
"295",0.008804
"296",0.01013
"297",0.009366
"298",0.007734
"299",0.01047
"300",0.008069
"301",0.005802
"302",0.009234
"303",-0.000118
"304",0.01042
"305",0.001518
"306",0.003006
"307",0.01071
"308",0.007293
"309",0.01113
"310",0.01068
"311",0.01216
"312",0.006967
"313",0.01002
